hu_min,hu_max,iou,dice,voe,rvd
0,100,0.4716333958883981,0.6219904683268254,0.5283666040883543,1.0337580152471362
0,95,0.5157561076850494,0.6499723828241226,0.4842438922674256,0.03655540806856788
0,90,0.4546632976514945,0.6069202083588523,0.5453367023275313,1.2462798043377767
0,85,0.49352639190250985,0.6423875841955731,0.506473608070506,0.7366664472018993
0,80,0.47116355183149217,0.6223699251327152,0.5288364481456886,1.064748708186014
0,75,0.47065595777619207,0.6212180960423648,0.5293440422000926,1.0972666290049764
0,70,0.49382568871216853,0.6322099369432184,0.5061743112385675,-0.03686109364427233
0,65,0.5159127987486275,0.6598542279039643,0.48408720121725707,0.4847653280949462
0,60,0.5148324943553093,0.6515497425204573,0.4851675055997847,0.23999319509079559
0,55,0.5204365707517173,0.6645088913297393,0.47956342921861583,0.7151907571235382
0,50,0.5082601187546019,0.6439159714206798,0.4917398811974342,0.030333158081406304
0,45,0.5239547503150608,0.6583877597375857,0.4760452496402495,0.2519801781308548
0,40,0.4775241647335962,0.6263710064033046,0.5224758352422184,1.0332474732457624
0,35,0.4772153276283427,0.6269496416807964,0.5227846723468279,0.909190182400185
0,30,0.520032511481775,0.6605362642455974,0.47996748847777493,0.4639965925997701
0,25,0.4562243094167508,0.6062500558771089,0.5437756905617811,1.2321669381062883
0,20,0.528198868820124,0.6621700030115664,0.4718011311366112,0.3504953989263431
0,15,0.5207206474994918,0.6629817619436592,0.47927935246242637,0.42789070383706773
0,10,0.5398919622288954,0.6708696421815413,0.46010803772566433,0.14647870182740666
0,5,0.5183293611844132,0.6566860096563285,0.48167063877755006,0.714977026608509
5,100,0.4948303126139294,0.633963083097967,0.5051696873575798,0.7639693985968378
5,95,0.4645524864652278,0.6133278371737862,0.5354475135129652,1.196885405377209
5,90,0.5369630387723774,0.6693932722972548,0.4630369611931232,0.38844691211121685
5,85,0.3705245223606537,0.5184820295009809,0.6294754776227116,2.1694255721466376
5,80,0.44315809003993223,0.5947075913318142,0.5568419099391203,1.3945967733593785
5,75,0.5147652722935186,0.6496676146679,0.4852347276687189,0.2745814998036834
5,70,0.4854250936988387,0.6336909921619507,0.5145749062766231,1.0032154389711472
5,65,0.4148077116509782,0.567008121596627,0.5851922883303952,1.721083209123724
5,60,0.4520808540513156,0.6030732807946164,0.5479191459276279,1.3231534590889442
5,55,0.5065100146745015,0.6423238681202693,0.4934899852839825,0.181408384373787
5,50,0.48221437552753643,0.630214109508369,0.5177856244441926,0.6623031707439236
5,45,0.48970049416935624,0.6316410785485849,0.5102995058018145,0.7323013907508532
5,40,0.4762097180041799,0.6053996043470978,0.5237902819412699,-0.19135133608756044
5,35,0.5031179394119485,0.6404754804730693,0.49688206054054235,0.059332234428929875
5,30,0.4788352927043479,0.6185708247714349,0.5211647072647234,0.6944052991711676
5,25,0.42466302871875855,0.5771111022864331,0.5753369712623476,1.6064205803093956
5,20,0.4728528487202956,0.6199117238691638,0.5271471512537971,0.8474828823379521
5,15,0.40550173277548945,0.5434951882003114,0.5944982671794051,0.09644766392206884
5,10,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
10,100,0.46381553272899245,0.613500203797426,0.5361844672471974,1.1142077490909268
10,95,0.44813383650974653,0.5984025828428993,0.5518661634683154,1.2970204991152388
10,90,0.39077991489110087,0.5426007111316176,0.6092200850914418,1.9893779666913756
10,85,0.45427939701704007,0.6050290083267432,0.5457206029605841,1.0984566085933851
10,80,0.4822322350272364,0.629151684491134,0.5177677649466401,0.8388205174143739
10,75,0.4668487768793031,0.617421792568039,0.5331512230973133,1.040799291361929
10,70,0.0025168434194986528,0.004810443117776423,0.9974831564844726,-0.9974285091992
10,65,0.4093826291805839,0.5614366408968281,0.5906173708015483,1.8418366361568714
10,60,0.47814352009889527,0.6236724663086034,0.5218564798736091,0.7738218975514994
10,55,0.3179577206338631,0.44666002237036906,0.6820422792961148,-0.5862290095481325
10,50,0.31993194724287827,0.45412452514411583,0.6800680527299555,0.6568500847694059
10,45,0.4851614208334829,0.6300510883207746,0.5148385791382031,0.7162833300421558
10,40,0.332288660107819,0.46401831590155745,0.6677113398234128,-0.5446508710653707
10,35,0.4240974517849372,0.57296424690294,0.5759025481953254,1.528222566723888
10,30,0.4694274255811619,0.6122493995452778,0.5305725743746111,0.1174864589641702
